choice_TID,choice_group_ID,result_Index,Choice_type,hidden_Choice_condition_type,hidden_Choice_condition_Standard,hidden_Choice_condition_value,choice_text_ID,condition1_type,condition1_standard,condition1_value,condition2_type,condition2_standard,condition2_value,And_result,Condition1_result,Condition2_result,fail_result
수식,Choice_부가설명_00,수식,히든이냐 딤드냐,,,,,컨디션 1 판별 기준,,,컨디션2 판별 기준,,,컨디션1 2 모두 성공,컨디션1 성공,컨디션2 성공,컨디션1 2 모두 실패
String,String,int,Enum,,,,string,string,Enum,int,string,Enum,int,string,string,string,string
Choice_Story_00001,Choice_Story_0000,1,Normal,Null,Null,, 순수한 아이들이 읽었을 때 때묻지 않은 상상력을 펼칠 수 있는 이야기.,Null,Null,,Null,Null,,,,,R0004_P100
Choice_Story_00002,Choice_Story_0000,2,Normal,Null,Null,, 아이들이 읽는 현실성 없는 판타지적 이야기.,Null,Null,,Null,Null,,,,,R0004_P100
Choice_Story_00003,Choice_Story_0000,3,Normal,Null,Null,, 지금은 읽을 수 없는 유치한 이야기.,Null,Null,,Null,Null,,,,,R0004_P100
Choice_Story_00041,Choice_Story_0004,1,Normal,Null,Null,, 발걸음을 돌려 아예 다른 곳으로 자리를 옮긴다,Null,Null,,Null,Null,,,,,R0006_P100
Choice_Story_00061,Choice_Story_0006,1,Normal,Null,Null,, 문을 연다.,Null,Null,,Null,Null,,,,,R0008_P100
Choice_Story_00081,Choice_Story_0008,1,Normal,Null,Null,, 뒤를 돈다.,Null,Null,,Null,Null,,,,,R0010_P100
Choice_Story_00101,Choice_Story_0010,1,Normal,Null,Null,, \q어\c어.. 혹시 여기 명빈도서관 아닌가요?\q,Null,Null,,Null,Null,,,,,R0012_P100
Choice_Story_00121,Choice_Story_0012,1,Normal,Null,Null,, \q어\c어.. 그럼 여기 어디에요?”,Null,Null,,Null,Null,,,,,R0014_P100
Choice_Story_00141,Choice_Story_0014,1,Normal,Null,Null,, 옷?,Null,Null,,Null,Null,,,,,R0017_P100
Choice_Story_00142,Choice_Story_0014,2,Normal,Null,Null,, 빨간 모자?,Null,Null,,Null,Null,,,,,R0018_P100
Choice_Story_00171,Choice_Story_0017,1,Normal,Null,Null,, 다가간다.,Null,Null,,Null,Null,,,,,R0020_P100
Choice_Story_00172,Choice_Story_0017,2,Normal,Null,Null,, 그 자리에서 지켜본다.,Null,Null,,Null,Null,,,,,R0034_P100
Choice_Story_00181,Choice_Story_0018,1,Normal,Null,Null,, 다가간다.,Null,Null,,Null,Null,,,,,R0020_P100
Choice_Story_00182,Choice_Story_0018,2,Normal,Null,Null,, 그 자리에서 지켜본다.,Null,Null,,Null,Null,,,,,R0034_P100
Choice_Story_00201,Choice_Story_0020,1,Normal,Null,Null,, 사람들 사이의 좁은 틈으로 쳐다본다,Null,Null,,Null,Null,,,,,R0023_P100
Choice_Story_00202,Choice_Story_0020,2,Normal,Null,Null,,  틈에서 빠져나와 대화만 엿듣는다.,Null,Null,,Null,Null,,,,,R0028_P100
Choice_Story_00231,Choice_Story_0023,1,Normal,Null,Null,, 사람들에 의해 뒤로 물러난다.,Null,Null,,Null,Null,,,,,R0025_P100
Choice_Story_00251,Choice_Story_0025,1,Normal,Null,Null,, 빨간 모자님?,Null,Null,,Null,Null,,,,,R0029_P100
Choice_Story_00281,Choice_Story_0028,1,Normal,Null,Null,, 빨간 모자님?,Null,Null,,Null,Null,,,,,R0029_P100
Choice_Story_00291,Choice_Story_0029,1,Normal,Null,Null,, 처음 도착했던 집으로 다시 돌아간다.,Null,Null,,Null,Null,,,,,R0031_P100
Choice_Story_00311,Choice_Story_0031,1,Normal,Null,Null,, 그 자리에 쭈그려 앉는다.,Null,Null,,Null,Null,,,,,R0033_P100
Choice_Story_00331,Choice_Story_0033,1,Normal,Null,Null,, 마을을 지킨다?,Null,Null,,Null,Null,,,,,R0042_P100
Choice_Story_00341,Choice_Story_0034,1,Normal,Null,Null,, \q어떻게 생겼나요?\q,Null,Null,,Null,Null,,,,,R0036_P100
Choice_Story_00361,Choice_Story_0036,1,Normal,Null,Null,, \q주변에 있는 사람들은 뭐하는 사람들이죠?\q,Null,Null,,Null,Null,,,,,R0038_P100
Choice_Story_00381,Choice_Story_0038,1,Normal,Null,Null,, 뭐야\c 저 빨간 모자가 무슨 신이야?,Null,Null,,Null,Null,,,,,R0040_P100
Choice_Story_00401,Choice_Story_0040,1,Normal,Null,Null,, 마을을 지킨다?,Null,Null,,Null,Null,,,,,R0042_P100
Choice_Story_00421,Choice_Story_0042,1,Normal,Null,Null,, \q빨간 모자님이 마을을 지킨다고요?\q,Null,Null,,Null,Null,,,,,R0044_P100
Choice_Story_00441,Choice_Story_0044,1,Normal,Null,Null,, 빨간 모자\c 할머니\c 늑대...?,Null,Null,,Null,Null,,,,,R0046_P100
Choice_Story_00461,Choice_Story_0046,1,Normal,Null,Null,, 이 모든 게 빨간 모자 이야기라면 지금까지 내가 본 상황이 이해가 간다.,Null,Null,,Null,Null,,,,,R0049_P100
Choice_Story_00462,Choice_Story_0046,2,Normal,Null,Null,, 이 모든 게 빨간 모자 이야기라고 하더라도 이게 말이 되는 이야기인가?,Null,Null,,Null,Null,,,,,R0053_P100
Choice_Story_00491,Choice_Story_0049,1,Normal,Null,Null,, \q혹시 늑대의 배에 돌을 넣었다고 하던가요?\q,Null,Null,,Null,Null,,,,,R0051_P100
Choice_Story_00511,Choice_Story_0051,1,Normal,Null,Null,, 빨간 모자 이야기가 맞구나.,Null,Null,,Null,Null,,,,,R0059_P100
Choice_Story_00531,Choice_Story_0053,1,Normal,Null,Null,, \q혹시 늑대의 배에 돌을 넣었다고 하던가요?\q,Null,Null,,Null,Null,,,,,R0055_P100
Choice_Story_00551,Choice_Story_0055,1,Normal,Null,Null,, 말도 안되는 이야기라고 생각했는데. ,Null,Null,,Null,Null,,,,,R0057_P100
Choice_Story_00571,Choice_Story_0057,1,Normal,Null,Null,, 난 지금 빨간 모자의 이야기에 들어와 있다.,Null,Null,,Null,Null,,,,,R0059_P100
Choice_Story_00591,Choice_Story_0059,1,Normal,Null,Null,, 빨간 모자의 이야기가 다 사실이라는 건가?,Null,Null,,Null,Null,,,,,R0062_P100
Choice_Story_00592,Choice_Story_0059,2,Normal,Null,Null,, 빨간 모자의 이야기는 너무 비현실적인 거 아닌가?,Null,Null,,Null,Null,,,,,R0064_P100
Choice_Story_00621,Choice_Story_0062,1,Normal,Null,Null,, 근데 늑대의 배 속에서 꺼낸 할머니가 살아있을 수 있나...?,Null,Null,,Null,Null,,,,,R0066_P100
