story_ID,story
스토리,내용
string,string
Story_0000,새하얀 벽과 조명.\n가구라곤 탁자와 소파가 전부인 이곳은 어떠한 방으로 보입니다.\n탁자 위에는 깨끗하게 보관된 조화가 장식되어 있으며\c\n소파에는 어떤 '아이'가 앉아 큐브를 맞추고 있습니다.\n\n이곳이 어디인지 당신은 알지 못합니다.\n\n당신은 '아이'에게 다가가봅니다.
Story_0001,아이'는 당신의 기척은 느꼈지만 당신이 보이지 않는 것 같습니다.\n아이'는 고개를 들고 두리번 거리다가 이내 다시 큐브 맞추기에 집중합니다.\n\n당신은 '아이'가 당신을 알아채기 위해 ...
Story_0006,당신은 '아이'가 당신을 알아채기 위해 '아이'가 들고있는 큐브를 빼앗았습니다.\n눈앞에서 자신의 큐브를 빼앗긴 '아이'는 둥둥 떠있는 큐브를 적개심으로 가득찬 눈빛으로 바라봅니다.\n(당혹 +5)\n(짜증\c 불쾌 +10)\n\q이게 무슨..\q\n아이'의 말투에는 짜증이 가득합니다.\n\q돌려주세요.\q\n아이'는 당신이 들고있는 큐브를 바라보며 단호하게 말합니다.\n\n당신은...
Story_0008,당신은 큐브를 만지작거리며 풀어보려 시도해봅니다.\n그러나 시간을 들인 노력에도 불구하고 보기좋게 실패하고 말았습니다.\n(불쾌 +5)\n\n당신이 큐브를 헤집어놓는 것을 더이상 두고볼 수 없었던 '아이'가 말을 겁니다.\n\q이제 그만 돌려주세요. 아끼는 큐브니까.\q\n(가소로움 +5)\n\n당신은 '아이'에게 큐브를 다시 돌려줍니다.\n아이'는 크흠 하는 헛기침과 함께 당신에게 물어봅니다.\n\q그래서 누구세요?\q
Story_0009,당신은 큐브를 만지작거리며 풀어보려 시도해봅니다.\n놀랍게도 당신은 몇 번의 손동작으로 큐브를 맞춰버립니다.\n\n눈앞에서 순식간에 맞춰져버린 큐브를 보며 '아이'는 놀라움을 금치 못합니다.\n\q어떻게 한 거예요?\q\n불과 몇 초 전까지 드러내던 적대감은 온데간데 사라지고 흥미가 가득한 눈빛으로 바라보고 있습니다.\n(-짜증\c -불쾌 -10)\n(기대 +5)\n\n당신은 '아이'에게 큐브에 대해 더 자세히 알려줍니다.\n그렇게 '아이'와 한참 큐브 이야기를 한 후에 그제서야 생각난 듯 '아이'가 당신에게 질문합니다.\n\n\q근데 누구세요?\q
Story_0010,당신은 '아이'가 당신을 알아채기 위해 말을 걸었습니다.\n아이'는 깜짝 놀라며 말이 들린 쪽을 향해 돌아봅니다.\n\q거기 누구 있어요?\q\n(공포\c 당혹 +10)\n아이'가 말하는 것을 듣는 당신은 무언가 위화감이 느껴집니다.\n아이'의 입모양과 들리는 것이 다른 것 같습니다.\n\n주변을 보니 문득 '아이'의 뒤쪽에 있는 문이 눈에 들어왔습니다.\n평범해보이는 문 위에는 이상한 문자가 적혀있습니다.\n당신은 그 글자를 전혀 읽을 수 없습니다.\n혼란스러운 당신은 이곳이 어디인지 '아이'에게 물어보려는 찰나\c '아이'가 당신에게 말을 걸어옵니다.\n\q저기요...?\q
Story_0013,당신은 당황한 채로 대답합니다.\n하지만 '아이'는 당신의 상태를 모르는지 말을 이어갑니다.\n\q아\c 제 착각인 줄 알았어요.\n... 근데 누구세요?\q\n아이'가 조심스럽게 당신에 대해 질문합니다.
Story_0014,당신은 당황했지만 이내 침착하고 농담을 하는 여유까지 부렸습니다.\n하지만 '아이'는 그런 당신의 행동에 혼란스러워합니다.\n(혼란 +5)\n\q... 예?\q\n몇 초간 정적이 흐릅니다.\n당신은 어색해진 분위기를 풀기 위해 당신에 대해 이야기하고자 합니다.
Story_0018,당신은 '아이'에게 신이라고 말합니다.\n\n\q신.. 신님이시군요.\q\n한 글자씩 천천히 읊조리며 '아이'는 당신을 선망의 눈빛으로 바라봅니다.\n\n\q역시 신님이셨군요.\q\n눈에 띄게 밝아진 '아이'가 자신에 대해 소개합니다.\n아이'는 '이곳'에서 자신만이 어린아이이기 때문에 이름이 따로 없다고 말합니다.
Story_0019,당신은 '아이'에게 신이라고 말합니다.\n\n\q...\q\n아이'는 당신에게 거짓말치지 말라는 눈빛을 보냅니다.\n몇 초 간의 정적 끝에 '아이'는 체념하고선 당신이 신이라는 것을 받아들입니다.
Story_0020,당신은 당신이 누구인지 기억이 나지 않는다고 말합니다.\n\n\q앗 그러신가요?\q\n아이'가 당신을 안타까운 눈빛으로 바라봅니다.\n\n\q그.. 그러면 제가 정해드릴게요!\q\n(상냥함 +5)\n한참을 고민하던 '아이'가 쑥쓰러운 듯 말합니다.\n\q신.. 신님 어때요? 기적과도 같이 제게 찾아오셨잖아요.\q\n\n당신은 웃으면서 '아이'의 이름을 물어봅니다.\n\q글쎄요\c 저는 이름이 따로 없어요.\n다들 원하시는 대로 불러요.\q\n\n아이'는 '이곳'에서 자신만이 어린아이이기 때문에 무엇으로 불려도 모두 자신을 지칭한다고 말합니다.
Story_0025,\q저도 자세히는 몰라요.\n하지만 이곳이 제가 자란 곳이고\c\n연구원님들이 하는 말을 들었을 땐 '쉘터'라 들었어요.\q\n\n다른 것을 물어볼까요?
Story_0026,\q글쎄요..?\n딱히 그 이유를 생각해보진 않았어요.\n음.. 밖에 연구원님들이 계시니 그분들께 여쭤봐도 좋겠네요.\q\n\n아이'는 그렇게 말하며 하얀 방문을 멍하니 바라봅니다.\n\n다른 것을 물어볼까요?
Story_0027,\q네\c 분명 그렇게 들었어요. 무슨 문제가 있나요?\q\n\n아이'가 의아해하며 물어봅니다.\n당신은 쉘터가 무슨 뜻인지 아느냐고 묻는 '아이'에게 아무것도 아니라며 얼버무립니다.\n\n다른 것을 물어볼까요?
